nodo_id,h3,instalaciones_250m,instalaciones_500m,instalaciones_1000m,intercambiadores_250m,intercambiadores_500m,intercambiadores_1000m,modos_250m,cantidad_modos_250m,ferrocarril_250m,subte_250m,autobus_250m,fluvial_250m,tranvia_250m,modos_500m,cantidad_modos_500m,ferrocarril_500m,subte_500m,autobus_500m,fluvial_500m,tranvia_500m,modos_1000m,cantidad_modos_1000m,ferrocarril_1000m,subte_1000m,autobus_1000m,fluvial_1000m,tranvia_1000m,densidad_instalaciones_250m,densidad_instalaciones_500m,densidad_instalaciones_1000m,instalaciones_500m_normalizadas,densidad_instalaciones_500m_normalizada,intercambiadores_500m_normalizados,diversidad_modal_500m_normalizada,modo_ferroviario_estructurante,modo_subterraneo_estructurante,modo_fluvial_estructurante,conectividad_modal_500m,soporte_fisico_preliminar,categoria_soporte_fisico,ranking_soporte_fisico,tipo_intermodalidad,score_intermodalidad,score_demanda,score_densidad,score_conectividad,score_alcance,score_integracion,ranking_centralidad,ranking_operaciones_validacion,ranking_centralidad_validacion,diferencia_ranking_abs,score_intermodalidad_500m,categoria_intermodalidad_500m,ranking_intermodalidad,geometry,demanda_base_23,indice_demanda_estructural,infraestructura_instalaciones,infraestructura_intercambiadores,infraestructura_diversidad_modal,indice_infraestructura_estructural,indice_intermodalidad_estructural,indice_conectividad_estructural,indice_integracion_territorial,indice_centralidad_estructural,indice_centralidad_estructural_robusto,ranking_centralidad_estructural,ranking_centralidad_estructural_robusto,categoria_centralidad_estructural,categoria_centralidad_estructural_robusta,brecha_demanda_infraestructura,deficit_infraestructura,diagnostico_demanda_infraestructura,prioridad_intervencion,ranking_prioridad_intervencion,nivel_demanda_estructural,nivel_infraestructura_estructural,nivel_intermodalidad_estructural,nivel_conectividad_estructural,nivel_integracion_territorial,nivel_demanda,nivel_infraestructura,nivel_intermodalidad,nivel_conectividad,nivel_deficit_infraestructura,categoria_prioridad_intervencion,tipologia_centralidad,dimension_dominante,perfil_multidimensional,diagnostico_tipologico,ranking_tipologia_estructural,ranking_tipologia_prioridad,perfil_intervencion,deficit_demanda,deficit_intermodalidad,deficit_conectividad,deficit_integracion,deficit_estructural_promedio,impacto_potencial,categoria_impacto,urgencia_intervencion,nivel_urgencia,score_prioridad_territorial,nivel_prioridad_territorial,tipo_intervencion_recomendada,justificacion_intervencion,ranking_prioridad_territorial,ranking_intervencion,ranking_nivel_prioridad,dimensiones_prioritarias,diagnostico_territorial
7,2,62,76,118,2,2,4,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,315.76340709432037,96.76620539987236,37.5605665696873,0.01962809917355372,0.5389181072043098,0.19955424691458712,0.4,1,0,0,0.3398662740743761,34.15,SOPORTE_FISICO_BAJO,42,MONOMODAL,50.0,98.61111111111111,98.61111111111111,69.44444444444444,46.18055555555556,50.34722222222222,12,3,12,9,70.0,INTERMODALIDAD_MEDIA,16,"POLYGON ((5611437.218637 6165538.384485, 5611500.55744 6165110.990209, 5611151.340834 6164772.566611, 5610738.759182 6164861.51439, 5610675.39172 6165288.917069, 5610262.762162 6165377.890279, 5610199.37304 6165805.341294, 5610548.642139 6166143.81069, 5610961.27411 6166054.806173, 5611024.634571 6165627.363567, 5611437.218637 6165538.384485))",98.61111111111111,98.61111111111111,52.5771,19.9554,40.0,37.5111,41.2041,59.809,64.0046,62.57,90.97,14,14,CENTRALIDAD_ESTRUCTURAL_ALTA,CENTRALIDAD_ESTRUCTURAL_MUY_ALTA,61.1,62.4889,DEFICIT_INFRAESTRUCTURAL,83.61,2,98.61111111111111,37.5111,41.2041,59.809,ALTO,MUY_ALTO,BAJO,MEDIO,MEDIO,ALTO,PRIORIDAD_CRITICA,CENTRALIDAD_DEMANDA,DEMANDA,DEMANDA,ALTA_DEMANDA_BAJO_SOPORTE,14,2,AMPLIAR_INFRAESTRUCTURA,1.3888888888888857,58.7959,40.191,35.995400000000004,49.3678,86.47011555555555,IMPACTO_MUY_ALTO,53.132045000000005,MEDIA,74.08132433333333,PRIORIDAD_ALTA,INTERVENCION_INTEGRAL,Demanda elevada combinada con déficit infraestructural significativo y alta prioridad territorial.,1,1,1,INFRAESTRUCTURA|INTERMODALIDAD|CONECTIVIDAD,ALTA_DEMANDA_BAJO_SOPORTE
17,9,81,101,148,0,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,412.52961249419275,128.59719401825143,47.10986315520102,0.026084710743801653,0.5720643411019338,0.0,0.4,1,0,0,0.27999999999999997,30.41,SOPORTE_FISICO_BAJO,65,INTERMODAL,100.0,96.52777777777779,66.66666666666666,69.44444444444444,46.18055555555556,50.34722222222222,10,6,10,4,65.0,INTERMODALIDAD_MEDIA,104,"POLYGON ((5688694.505103 6133648.753907, 5688323.143549 6133447.469291, 5687891.218371 6133672.311279, 5687519.903816 6133471.034533, 5687088.000072 6133695.866237, 5686716.732514 6133494.597361, 5686284.85021 6133719.418782, 5686224.201769 6134145.522806, 5686595.461184 6134346.82356, 5687027.377185 6134121.988414, 5687398.683601 6134323.297041, 5687338.065873 6134749.472695, 5686906.116174 6134974.321563, 5686534.817902 6134772.981056, 5686102.889654 6134997.819639, 5686042.225981 6135424.012446, 5686413.516104 6135625.384833, 5686352.857588 6136051.631114, 5686724.186565 6136253.043261, 5686663.533205 6136679.343017, 5687034.901036 6136880.794931, 5687466.930383 6136655.915204, 5687527.558196 6136229.597276, 5687959.575299 6136004.720974, 5688020.182713 6135578.438357, 5687648.798578 6135377.050212, 5687709.411148 6134950.821078, 5688141.382294 6134725.961925, 5688201.974462 6134299.768111, 5688633.933344 6134074.912396, 5688694.505103 6133648.753907))",96.52777777777779,96.52777777777779,55.9803,0.0,40.0,32.1546,40.1215,58.5938,70.0231,60.81,87.5,19,19,CENTRALIDAD_ESTRUCTURAL_ALTA,CENTRALIDAD_ESTRUCTURAL_MUY_ALTA,64.37,67.8454,DEFICIT_INFRAESTRUCTURAL,83.66,1,96.52777777777779,32.1546,40.1215,58.5938,ALTO,MUY_ALTO,BAJO,MEDIO,MEDIO,ALTO,PRIORIDAD_CRITICA,CENTRALIDAD_DEMANDA,DEMANDA,DEMANDA|TERRITORIAL,ALTA_DEMANDA_BAJO_SOPORTE,19,1,AMPLIAR_INFRAESTRUCTURA,3.4722222222222143,59.8785,41.4062,29.9769,49.77675,84.46923888888888,IMPACTO_MUY_ALTO,54.885560000000005,MEDIA,73.89418833333333,PRIORIDAD_ALTA,INTERVENCION_INTEGRAL,Demanda elevada combinada con déficit infraestructural significativo y alta prioridad territorial.,2,2,2,INFRAESTRUCTURA|INTERMODALIDAD|CONECTIVIDAD,ALTA_DEMANDA_BAJO_SOPORTE
2,1,79,120,174,2,4,7,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,402.34369613631145,152.78874536821954,55.38592019597958,0.030991735537190084,0.5921916882107421,0.2923416876766772,0.4,1,0,0,0.3677025063030031,38.5,SOPORTE_FISICO_BAJO,19,MONOMODAL,50.0,97.22222222222221,100.0,69.44444444444444,46.18055555555556,50.34722222222222,13,5,13,8,70.0,INTERMODALIDAD_MEDIA,16,"POLYGON ((5626653.3048 6165149.563864, 5627022.018786 6165351.962405, 5626959.287113 6165778.897757, 5626527.816464 6166003.416326, 5626179.027145 6165665.358107, 5626241.785576 6165238.427683, 5626653.3048 6165149.563864))",97.22222222222221,97.22222222222221,58.0479,29.2342,40.0,42.862,43.5238,58.2465,64.4676,63.77,93.06,11,11,CENTRALIDAD_ESTRUCTURAL_ALTA,CENTRALIDAD_ESTRUCTURAL_MUY_ALTA,54.36,57.138,DEFICIT_INFRAESTRUCTURAL,80.08,5,97.22222222222221,42.862,43.5238,58.2465,ALTO,MUY_ALTO,MEDIO,MEDIO,MEDIO,MEDIO,PRIORIDAD_CRITICA,CENTRALIDAD_DEMANDA,DEMANDA,DEMANDA,ALTA_DEMANDA_BAJO_SOPORTE,11,5,AMPLIAR_INFRAESTRUCTURA,2.7777777777777857,56.4762,41.7535,35.532399999999996,47.725025,86.07411611111111,IMPACTO_MUY_ALTO,50.65481,MEDIA,72.72296716666668,PRIORIDAD_ALTA,INTERVENCION_INTEGRAL,Demanda elevada combinada con déficit infraestructural significativo y alta prioridad territorial.,3,3,3,INFRAESTRUCTURA|INTERMODALIDAD|CONECTIVIDAD,ALTA_DEMANDA_BAJO_SOPORTE
4,1,72,85,125,1,1,2,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,366.69298888372685,108.22536130248884,39.78873577297384,0.021952479338842975,0.5519523874234499,0.12590471182995822,0.4,1,0,0,0.3177714135489874,32.8,SOPORTE_FISICO_BAJO,50,MONOMODAL,50.0,94.44444444444444,99.30555555555556,69.44444444444444,46.18055555555556,50.34722222222222,15,9,15,6,70.0,INTERMODALIDAD_MEDIA,16,"POLYGON ((5616448.937296 6164043.976459, 5616099.892958 6163705.701499, 5616163.037565 6163278.573953, 5616575.197891 6163189.72975, 5616924.216015 6163527.98182, 5616861.100025 6163955.100984, 5616448.937296 6164043.976459))",94.44444444444444,94.44444444444444,53.9151,12.5905,40.0,35.5674,39.3629,58.7674,64.2361,60.34,84.72,23,23,CENTRALIDAD_ESTRUCTURAL_ALTA,CENTRALIDAD_ESTRUCTURAL_MUY_ALTA,58.88,64.43260000000001,DEFICIT_INFRAESTRUCTURAL,80.22,4,94.44444444444444,35.5674,39.3629,58.7674,ALTO,MUY_ALTO,BAJO,BAJO,MEDIO,MEDIO,PRIORIDAD_CRITICA,CENTRALIDAD_DEMANDA,DEMANDA,DEMANDA,ALTA_DEMANDA_BAJO_SOPORTE,23,4,AMPLIAR_INFRAESTRUCTURA,5.555555555555557,60.6371,41.2326,35.76390000000001,50.51655,82.74153222222222,IMPACTO_MUY_ALTO,54.543420000000005,MEDIA,72.48680433333334,PRIORIDAD_ALTA,INTERVENCION_INTEGRAL,Demanda elevada combinada con déficit infraestructural significativo y alta prioridad territorial.,4,4,4,INFRAESTRUCTURA|INTERMODALIDAD|CONECTIVIDAD,ALTA_DEMANDA_BAJO_SOPORTE
8,4,43,44,48,2,2,3,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,218.997201694448,56.02253996834716,15.278874536821952,0.011363636363636364,0.4755153414270987,0.19955424691458712,0.4,1,0,0,0.3398662740743761,31.8,SOPORTE_FISICO_BAJO,54,MONOMODAL,50.0,93.75,88.88888888888889,95.83333333333334,46.18055555555556,50.34722222222222,8,10,8,2,70.0,INTERMODALIDAD_MEDIA,16,"POLYGON ((5613410.618509 6179191.418762, 5613347.276266 6179619.652555, 5613696.773693 6179958.327038, 5614109.587086 6179868.744922, 5614459.067508 6180207.405049, 5614395.760812 6180635.670094, 5614745.250495 6180974.338662, 5615158.020599 6180884.71939, 5615221.298724 6180456.462884, 5615634.020944 6180366.869129, 5615697.277457 6179938.660933, 5615347.840317 6179600.03796, 5614935.120397 6179689.600383, 5614585.666248 6179350.963058, 5614172.900745 6179440.51966, 5613823.429594 6179101.867983, 5613410.618509 6179191.418762))",93.75,93.75,46.0755,19.9554,40.0,34.8831,41.2041,62.2396,60.7639,60.5,86.11,21,21,CENTRALIDAD_ESTRUCTURAL_ALTA,CENTRALIDAD_ESTRUCTURAL_MUY_ALTA,58.87,65.1169,DEFICIT_INFRAESTRUCTURAL,79.8,7,93.75,34.8831,41.2041,62.2396,ALTO,MUY_ALTO,BAJO,MEDIO,ALTO,MEDIO,PRIORIDAD_CRITICA,CENTRALIDAD_DEMANDA,DEMANDA,DEMANDA,ALTA_DEMANDA_BAJO_SOPORTE,21,7,AMPLIAR_INFRAESTRUCTURA,6.25,58.7959,37.7604,39.2361,50.227325,82.753465,IMPACTO_MUY_ALTO,54.18323,MEDIA,72.2099565,PRIORIDAD_ALTA,INTERVENCION_INTEGRAL,Demanda elevada combinada con déficit infraestructural significativo y alta prioridad territorial.,5,5,5,INFRAESTRUCTURA|INTERMODALIDAD,ALTA_DEMANDA_BAJO_SOPORTE
20,2,2,3,7,0,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,10.185916357881302,3.819718634205488,2.228169203286535,0.0007747933884297521,0.18495368961100384,0.0,0.4,1,0,0,0.27999999999999997,16.49,SOPORTE_FISICO_MUY_BAJO,126,INTERMODAL,100.0,86.11111111111111,87.5,23.26388888888889,46.18055555555556,50.34722222222222,26,21,26,5,58.0,INTERMODALIDAD_MEDIA,114,"POLYGON ((5647685.911688 6141205.554306, 5647316.746714 6141004.305791, 5646885.672597 6141228.719946, 5646823.729929 6141654.396239, 5647192.886614 6141855.676497, 5647130.949108 6142281.406029, 5647500.144481 6142482.725911, 5647931.285653 6142258.284515, 5647993.197922 6141832.536856, 5647623.994258 6141631.24872, 5647685.911688 6141205.554306))",86.11111111111111,86.11111111111111,16.7796,0.0,40.0,16.3464,38.6458,51.6493,76.9676,53.09,73.61,39,39,CENTRALIDAD_ESTRUCTURAL_MEDIA,CENTRALIDAD_ESTRUCTURAL_ALTA,69.76,83.6536,DEFICIT_INFRAESTRUCTURAL,79.57,8,86.11111111111111,16.3464,38.6458,51.6493,ALTO,MUY_ALTO,MUY_BAJO,BAJO,MEDIO,ALTO,PRIORIDAD_CRITICA,CENTRALIDAD_DEMANDA,DEMANDA,DEMANDA|TERRITORIAL,ALTA_DEMANDA_BAJO_SOPORTE,39,8,AMPLIAR_INFRAESTRUCTURA,13.888888888888886,61.3542,48.3507,23.032399999999996,54.097725,75.95810055555556,IMPACTO_MUY_ALTO,61.92499,ALTA,72.08562783333333,PRIORIDAD_ALTA,INTERVENCION_INTEGRAL,Demanda elevada combinada con déficit infraestructural significativo y alta prioridad territorial.,6,6,6,INFRAESTRUCTURA|INTERMODALIDAD|CONECTIVIDAD,ALTA_DEMANDA_BAJO_SOPORTE
3,3,110,124,147,6,7,7,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,560.2253996834716,157.88170354716019,46.79155326901723,0.03202479338842975,0.5960231500081437,0.3777141354898746,0.4,1,0,0,0.39331424064696235,40.78,SOPORTE_FISICO_MEDIO,15,MONOMODAL,50.0,97.91666666666666,97.22222222222221,95.83333333333334,46.18055555555556,50.34722222222222,6,4,6,2,70.0,INTERMODALIDAD_MEDIA,16,"POLYGON ((5647671.528854 6157762.070544, 5647301.828217 6157559.869685, 5646870.100296 6157784.534308, 5646808.03947 6158211.413324, 5647177.731732 6158413.645953, 5647115.676039 6158840.578232, 5646683.902918 6159065.259645, 5646621.827193 6159492.226947, 5646991.54975 6159694.53108, 5647423.356417 6159469.83614, 5647485.406979 6159042.850594, 5647917.201991 6158818.158906, 5647979.232515 6158391.208387, 5647609.493197 6158188.967796, 5647671.528854 6157762.070544))",97.91666666666666,97.91666666666666,58.4415,37.7714,40.0,45.903,45.6581,62.934,63.5417,65.78,95.83,7,7,CENTRALIDAD_ESTRUCTURAL_ALTA,CENTRALIDAD_ESTRUCTURAL_MUY_ALTA,52.01,54.097,DEFICIT_INFRAESTRUCTURAL,79.55,9,97.91666666666666,45.903,45.6581,62.934,ALTO,MUY_ALTO,MEDIO,MEDIO,ALTO,MEDIO,PRIORIDAD_CRITICA,CENTRALIDAD_DEMANDA,DEMANDA,DEMANDA,ALTA_DEMANDA_BAJO_SOPORTE,7,9,MEJORAR_INTERMODALIDAD,2.083333333333343,54.3419,37.066,36.4583,45.49080000000001,86.80549333333333,IMPACTO_MUY_ALTO,48.10622000000001,MEDIA,72.03441600000001,PRIORIDAD_ALTA,INTERVENCION_INTEGRAL,Demanda elevada combinada con déficit infraestructural significativo y alta prioridad territorial.,7,7,7,INTERMODALIDAD|INFRAESTRUCTURA,ALTA_DEMANDA_BAJO_SOPORTE
11,3,45,47,59,1,1,1,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,229.1831180523293,59.84225860255265,18.78028328484365,0.012138429752066115,0.4831403823338039,0.12590471182995822,0.4,1,0,0,0.3177714135489874,30.24,SOPORTE_FISICO_BAJO,66,MONOMODAL,50.0,93.05555555555556,89.58333333333334,95.83333333333334,46.18055555555556,50.34722222222222,9,11,9,2,70.0,INTERMODALIDAD_MEDIA,16,"POLYGON ((5659886.169148 6156143.500163, 5659515.793 6155941.251438, 5659083.782795 6156166.053434, 5659022.11514 6156593.117716, 5658590.093138 6156817.922988, 5658528.405354 6157245.022354, 5658898.764829 6157447.334701, 5659330.820429 6157222.515871, 5659701.226973 6157424.836186, 5660133.304379 6157200.007069, 5660194.941639 6156772.871196, 5659824.526759 6156570.582695, 5659886.169148 6156143.500163))",93.05555555555556,93.05555555555556,46.8567,12.5905,40.0,32.713,39.3629,63.2813,60.9954,59.56,82.64,26,26,CENTRALIDAD_ESTRUCTURAL_MEDIA,CENTRALIDAD_ESTRUCTURAL_MUY_ALTA,60.34,67.287,DEFICIT_INFRAESTRUCTURAL,79.97,6,93.05555555555556,32.713,39.3629,63.2813,ALTO,MUY_ALTO,BAJO,BAJO,ALTO,ALTO,PRIORIDAD_CRITICA,CENTRALIDAD_DEMANDA,DEMANDA,DEMANDA,ALTA_DEMANDA_BAJO_SOPORTE,26,6,AMPLIAR_INFRAESTRUCTURA,6.944444444444443,60.6371,36.7187,39.0046,50.91185000000001,81.50214777777778,IMPACTO_MUY_ALTO,55.268505000000005,MEDIA,71.98516866666667,PRIORIDAD_ALTA,INTERVENCION_INTEGRAL,Demanda elevada combinada con déficit infraestructural significativo y alta prioridad territorial.,8,8,8,INFRAESTRUCTURA|INTERMODALIDAD,ALTA_DEMANDA_BAJO_SOPORTE
5,3,70,72,112,2,2,4,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL|FLUVIAL,3,1,0,1,1,0,356.50707252584556,91.67324722093171,35.65070725258456,0.01859504132231405,0.5326265294694258,0.19955424691458712,0.4,1,0,0,0.3398662740743761,33.91,SOPORTE_FISICO_BAJO,43,INTERMODAL,100.0,95.83333333333334,96.52777777777779,69.44444444444444,46.18055555555556,50.34722222222222,4,7,4,3,70.0,INTERMODALIDAD_MEDIA,16,"POLYGON ((5647306.916784 6152035.902337, 5646937.423157 6151834.035024, 5646505.931522 6152058.608497, 5646443.899979 6152485.062847, 5646012.396647 6152709.639619, 5645950.345063 6153136.129023, 5646319.821993 6153338.059853, 5646751.35886 6153113.469521, 5647120.88282 6153315.408287, 5647552.441531 6153090.807689, 5647614.442741 6152664.281886, 5647244.910431 6152462.374882, 5647306.916784 6152035.902337))",95.83333333333334,95.83333333333334,51.9314,19.9554,40.0,37.2491,53.7041,59.9826,79.9769,65.8,96.53,6,6,CENTRALIDAD_ESTRUCTURAL_ALTA,CENTRALIDAD_ESTRUCTURAL_MUY_ALTA,58.58,62.7509,DEFICIT_INFRAESTRUCTURAL,80.93,3,95.83333333333334,37.2491,53.7041,59.9826,ALTO,MUY_ALTO,BAJO,MEDIO,MEDIO,MEDIO,PRIORIDAD_CRITICA,CENTRALIDAD_DEMANDA,DEMANDA,DEMANDA|TERRITORIAL,ALTA_DEMANDA_BAJO_SOPORTE,6,3,AMPLIAR_INFRAESTRUCTURA,4.166666666666657,46.2959,40.0174,20.0231,42.271825,85.33003166666667,IMPACTO_MUY_ALTO,47.68128,MEDIA,71.46829650000001,PRIORIDAD_ALTA,INTERVENCION_INTEGRAL,Demanda elevada combinada con déficit infraestructural significativo y alta prioridad territorial.,9,9,9,INFRAESTRUCTURA|INTERMODALIDAD|CONECTIVIDAD,ALTA_DEMANDA_BAJO_SOPORTE
18,2,28,38,65,0,0,0,AUTOBUS,1,0,0,1,0,0,AUTOBUS,1,0,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,142.60282901033824,48.38310269993618,20.690142601946395,0.00981404958677686,0.45859974178108265,0.0,0.2,0,0,0,0.13999999999999999,21.2,SOPORTE_FISICO_BAJO,108,INTERMODAL,100.0,83.33333333333334,77.77777777777779,23.26388888888889,46.18055555555556,50.34722222222222,32,25,32,7,40.0,INTERMODALIDAD_BAJA,115,"POLYGON ((5635502.641314 6142829.146419, 5635933.45576 6142604.858655, 5635995.745965 6142179.382743, 5635627.246874 6141978.2127, 5635196.465901 6142202.486866, 5634828.013772 6142001.324691, 5634397.254616 6142225.588623, 5634334.91412 6142651.028328, 5634703.357922 6142852.222203, 5635134.150548 6142627.944674, 5635502.641314 6142829.146419))",83.33333333333334,83.33333333333334,44.3435,0.0,20.0,22.7002,32.3438,25.7812,73.7269,48.38,59.72,59,59,CENTRALIDAD_ESTRUCTURAL_MEDIA,CENTRALIDAD_ESTRUCTURAL_MEDIA,60.63,77.2998,DEFICIT_INFRAESTRUCTURAL,74.25,17,83.33333333333334,22.7002,32.3438,25.7812,ALTO,MUY_ALTO,BAJO,BAJO,BAJO,ALTO,PRIORIDAD_ALTA,CENTRALIDAD_DEMANDA,DEMANDA,DEMANDA|TERRITORIAL,ALTA_DEMANDA_BAJO_SOPORTE,59,17,AMPLIAR_INFRAESTRUCTURA,16.666666666666657,67.6562,74.2188,26.2731,61.361975,71.85506166666667,IMPACTO_ALTO,66.61869500000002,ALTA,71.32076450000001,PRIORIDAD_ALTA,AMPLIAR_INFRAESTRUCTURA,"Demanda 83.3/100 frente a infraestructura 22.7/100, con déficit infrastructural de 77.3 puntos.",10,1,10,INFRAESTRUCTURA|CONECTIVIDAD|INTERMODALIDAD,ALTA_DEMANDA_BAJO_SOPORTE
16,4,78,93,139,3,4,9,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,397.25073795737075,118.41127766037013,44.245074179546904,0.024018595041322314,0.5624377792314506,0.2923416876766772,0.4,1,0,0,0.3677025063030031,37.35,SOPORTE_FISICO_BAJO,25,MONOMODAL,50.0,92.36111111111111,76.38888888888889,69.44444444444444,46.18055555555556,50.34722222222222,22,12,22,10,70.0,INTERMODALIDAD_MEDIA,16,"POLYGON ((5641199.793963 6158368.467296, 5640768.207736 6158593.063285, 5640705.950899 6159019.849702, 5641075.305409 6159222.058358, 5641506.925154 6158997.448848, 5641876.326714 6159199.665465, 5642307.968384 6158975.045687, 5642677.416996 6159177.270265, 5643109.080586 6158952.640217, 5643171.262039 6158525.799112, 5642801.805037 6158323.606288, 5642370.174971 6158548.222813, 5642000.765018 6158346.037947, 5642062.97674 6157919.268307, 5641693.605443 6157717.123148, 5641262.030814 6157941.71588, 5641199.793963 6158368.467296))",92.36111111111111,92.36111111111111,54.9917,29.2342,40.0,41.6198,43.5238,58.941,56.5972,61.32,88.89,17,17,CENTRALIDAD_ESTRUCTURAL_ALTA,CENTRALIDAD_ESTRUCTURAL_MUY_ALTA,50.74,58.3802,DEFICIT_INFRAESTRUCTURAL,75.71,14,92.36111111111111,41.6198,43.5238,58.941,MEDIO,MUY_ALTO,MEDIO,MEDIO,MEDIO,MEDIO,PRIORIDAD_CRITICA,CENTRALIDAD_DEMANDA,DEMANDA,DEMANDA,ALTA_DEMANDA_BAJO_SOPORTE,17,14,AMPLIAR_INFRAESTRUCTURA,7.638888888888886,56.4762,41.059,43.4028,49.82955,82.81346555555555,IMPACTO_MUY_ALTO,52.193349999999995,MEDIA,71.12863433333334,PRIORIDAD_ALTA,INTERVENCION_INTEGRAL,Demanda elevada combinada con déficit infraestructural significativo y alta prioridad territorial.,11,10,11,INFRAESTRUCTURA|INTERMODALIDAD|INTEGRACION|CONECTIVIDAD,ALTA_DEMANDA_BAJO_SOPORTE
23,1,6,9,15,0,0,0,AUTOBUS,1,0,0,1,0,0,AUTOBUS,1,0,0,1,0,0,AUTOBUS|FERROCARRIL,2,1,0,1,0,0,30.557749073643905,11.459155902616464,4.7746482927568605,0.0023243801652892563,0.29664455240180393,0.0,0.2,0,0,0,0.13999999999999999,15.42,SOPORTE_FISICO_MUY_BAJO,129,MONOMODAL,50.0,77.77777777777779,93.05555555555556,23.26388888888889,46.18055555555556,50.34722222222222,44,33,44,11,39.0,INTERMODALIDAD_BAJA,129,"POLYGON ((5617128.388665 6183773.340842, 5616778.905362 6183434.675749, 5616842.134082 6183006.308526, 5617254.817562 6182916.614958, 5617604.274594 6183255.257279, 5617541.074415 6183683.61594, 5617128.388665 6183773.340842))",77.77777777777779,77.77777777777779,27.8703,0.0,20.0,16.0676,18.3681,22.8299,62.1528,40.66,40.97,86,86,CENTRALIDAD_ESTRUCTURAL_MEDIA,CENTRALIDAD_ESTRUCTURAL_MEDIA,61.71,83.9324,DEFICIT_INFRAESTRUCTURAL,71.35,23,77.77777777777779,16.0676,18.3681,22.8299,ALTO,ALTO,MUY_BAJO,MUY_BAJO,BAJO,ALTO,PRIORIDAD_ALTA,CENTRALIDAD_DEFICITARIA,DEMANDA,DEMANDA,PERFIL_EQUILIBRADO,86,23,MEJORAR_INTERMODALIDAD,22.222222222222214,81.6319,77.1701,37.8472,70.1454,65.20896888888889,IMPACTO_ALTO,75.09203500000001,URGENTE,70.75147633333333,PRIORIDAD_ALTA,AMPLIAR_INFRAESTRUCTURA,"Demanda 77.8/100 frente a infraestructura 16.1/100, con déficit infrastructural de 83.9 puntos.",12,2,12,INFRAESTRUCTURA|INTERMODALIDAD|CONECTIVIDAD,INTERVENCION_SELECTIVA
