proyecto_id,escenario_id,tipo_escenario,dimension_dominante,prioridad_territorial,score_priorizacion,indice_demanda,deficit_infraestructura,indice_conectividad,indice_intermodalidad,indice_integracion,indice_centralidad,impacto_potencial,urgencia_intervencion,ranking_final_proyecto_v4
AMBA-P005,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,86.11111111111111,83.6536,51.6493,38.6458,76.9676,53.09,75.95810055555556,61.92499,1
AMBA-P008,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,83.33333333333334,77.2998,25.7812,32.3438,73.7269,48.38,71.85506166666667,66.61869500000002,2
AMBA-P012,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,95.83333333333334,62.7509,59.9826,53.7041,79.9769,65.8,85.33003166666667,47.68128,3
AMBA-P013,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,85.41666666666666,74.1863,43.0556,45.6312,76.5046,55.31,76.49207833333334,58.17991,4
AMBA-P016,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,89.58333333333334,69.07130000000001,45.6597,53.7041,79.5139,60.15,79.51034666666668,53.14347000000001,5
AMBA-P019,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,72.22222222222221,80.0912,18.5764,19.8438,60.5324,39.45,61.21104111111111,74.28039000000001,6
AMBA-P021,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,86.80555555555556,67.71260000000001,62.7604,51.8629,72.1065,61.11,78.90891777777777,50.75126000000001,7
AMBA-P023,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,62.5,100.0,17.5347,11.0243,57.7546,29.36,51.62032000000001,85.073795,8
AMBA-P024,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,87.5,63.7924,55.4688,53.7041,78.588,62.22,79.425575,49.208975,9
AMBA-P036,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,74.30555555555556,75.4466,62.934,44.3976,68.1713,53.57,69.64996277777777,56.266745,10
AMBA-P054,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,51.388888888888886,88.4036,40.3646,16.7188,54.7454,33.19,46.60618444444444,74.89701000000001,11
AMBA-P055,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,52.77777777777778,81.0688,38.9757,19.8438,45.0231,34.88,48.58419888888889,72.917965,12
AMBA-P058,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,59.02777777777778,71.3186,52.0833,39.3629,56.3657,46.2,56.940223888888895,59.8152,13
AMBA-P059,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,56.25,79.4055,67.0139,30.1615,55.9028,43.7,54.441365,62.433625000000006,14
AMBA-P077,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,34.72222222222222,88.4036,38.6285,16.7188,45.9491,27.05,35.46647111111111,76.563675,15
AMBA-P090,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,100.0,0.0,77.2569,98.1771,75.1157,93.74,82.472515,8.73699,16
AMBA-P097,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,19.444444444444446,88.4036,42.1875,16.7188,39.2361,22.33,26.527282222222222,76.85882500000001,17
AMBA-P116,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,5.555555555555555,83.0445,20.4861,19.8438,33.2176,16.27,18.459627777777776,79.17699,18
AMBA-P142,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,1.3888888888888888,71.3186,66.2326,39.3629,31.5972,28.55,16.567739444444445,60.700615,19
AMBA-P143,AMBA-E001,ESCENARIO_DE_NECESIDAD,INTEGRACION,PRIORIDAD_2_ALTA,78.9423286344931,0.6944444444444444,65.1716,71.9618,42.5105,31.3657,31.35,17.145902222222222,56.3438,20
AMBA-P001,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,52.19918466555358,98.61111111111111,62.4889,59.809,41.2041,64.0046,62.57,86.47011555555555,53.132045000000005,21
AMBA-P003,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,52.19918466555358,97.2222222222222,57.138,58.2465,43.5238,64.4676,63.77,86.07411611111111,50.65481,22
AMBA-P004,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,52.19918466555358,94.44444444444444,64.43260000000001,58.7674,39.3629,64.2361,60.34,82.74153222222222,54.543420000000005,23
